Vendor,Category,Item,Item Description,Price,Origin,Destination,Rating,Remarks
DieselTHC,Drugs/Cannabis/Concentrates,Combo Pack - 1g of Shatter & 3.5g of Bud,Combo Pack - 1g of Shatter & 3.5g of Bud available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.144720 BTC,USA,Worldwide,5.00/5,
DieselTHC,Drugs/Cannabis/Weed,7g - Alien Dawg - AAA,High purity 7g - Alien Dawg - AAA at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.116704 BTC,USA,USA,5.00/5,
DieselTHC,Drugs/Cannabis/Weed,100% Pure 3.5g - Tangerine Haze - AAA [Fast Shipping],We are back on NightMarket offering our verified 3.5g - Tangerine Haze - AAA. Guaranteed premium quality and stealth packaging. Contact via PGP for bulk orders.,0.075451 BTC,USA,USA,4.92/5,
DieselTHC,Drugs/Cannabis/Weed,Verified 3.5g - Master Kush - AAA [Escrow Ready],We are back on NightMarket offering our verified 3.5g - Master Kush - AAA. Guaranteed lab tested quality and stealth packaging. Contact via PGP for bulk orders.,0.105792 BTC,USA,USA,4.81/5,
DieselTHC,Drugs/Cannabis/Weed,Custom 7g - Master Kush - AAA [Escrow Ready],"Premium 7g - Master Kush - AAA sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",0.188143 BTC,USA,USA,4.86/5,
DieselTHC,Drugs/Cannabis/Weed,7g - Skywalker OG - AAA [Tracked],"Welcome to our official NightMarket shop! 7g - Skywalker OG - AAA ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across USA.",0.147455 BTC,USA,USA,5.00/5,
DieselTHC,Drugs/Cannabis/Weed,3.5g - Silver Haze - AAA [Fast Shipping],We are back on NightMarket offering our verified 3.5g - Silver Haze - AAA. Guaranteed 99% quality and stealth packaging. Contact via PGP for bulk orders.,0.080336 BTC,USA,USA,4.96/5,
DieselTHC,Drugs/Cannabis/Weed,3.5g - Hawaiian Diesel - AAA [Purity Tested],"Welcome to our official NightMarket shop! 3.5g - Hawaiian Diesel - AAA ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across USA.",0.079064 BTC,USA,USA,5.00/5,
DieselTHC,Drugs/Cannabis/Weed,7g - Green Dream - AAA [Original Batch],7g - Green Dream - AAA available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.155400 BTC,USA,USA,4.94/5,
DieselTHC,Drugs/Cannabis/Concentrates,3g of Shatter,3g of Shatter available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.244429 BTC,USA,USA,5.00/5,
DieselTHC,Drugs/Cannabis/Concentrates,2g - Skywalker OG Shatter [24/7 Auto Dispatch],We are back on NightMarket offering our verified 2g - Skywalker OG Shatter. Guaranteed lab tested quality and stealth packaging. Contact via PGP for bulk orders.,0.218301 BTC,USA,USA,4.87/5,
