Vendor,Category,Item,Item Description,Price,Origin,Destination,Rating,Remarks
jesse,Drugs/Ecstasy/MDMA,1g of mdma,"Welcome to our official ShadowBay shop! 1g of mdma ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across EU.",0.095442 BTC,UK,EU,4.79/5,
jesse,Drugs/Cannabis/Weed,Ultra Clean 3.5g of good quality weed,3.5g of good quality weed available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.077529 BTC,UK,EU,4.93/5,
jesse,Data/Accounts,Custom verified paypal account,"Premium verified paypal account sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",0.065555 BTC,USA,Worldwide,4.72/5,
jesse,Data/Accounts,List of email addresses with passwords.,List of email addresses with passwords. available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.039462 BTC,UK,Worldwide,4.96/5,
jesse,Drugs/Dissociatives/Ketamine,100% Pure 1 g of cooked ketamine,"Premium 1 g of cooked ketamine sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",0.077915 BTC,UK,Worldwide,5.00/5,
jesse,Data/Accounts,list of 120 email addresses passwords and other personal details [Purity Tested],High purity list of 120 email addresses  passwords and other personal details at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.030288 BTC,USA,Worldwide,4.94/5,
jesse,Data/Accounts,List of 500 email adresses with passwords.,"Welcome to our official ShadowBay shop! List of 500 email adresses with passwords. ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across worldwide.",0.061617 BTC,USA,Worldwide,4.93/5,
jesse,Data/Accounts,list of 180 passport numbers dob name nationality etc.,"Welcome to our official ShadowBay shop! list of 180 passport numbers  dob  name  nationality  etc. ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across worldwide.",0.079812 BTC,USA,Worldwide,4.82/5,
jesse,Data/Accounts,List of 200 email adresses with passwords.,High purity List of 200 email adresses with passwords. at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.030318 BTC,USA,Worldwide,5.00/5,
top_vendor1-17,Drugs/Cannabis/Weed,Sour Diesel AAA HP very potent,"Premium Sour Diesel AAA HP very potent sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",2.567453 BTC,USA,Worldwide,4.93/5,
top_vendor1-17,Drugs/Cannabis/Weed,Top Grade custom order 3 pounds sour diesel,custom order 3 pounds sour diesel available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,9.856329 BTC,USA,Worldwide,5.00/5,
top_vendor1-17,Drugs/Cannabis/Weed,HQ Sour Diesel AAA QP very potent,Sour Diesel AAA QP very potent available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,1.356696 BTC,USA,Worldwide,4.91/5,
top_vendor1-17,Electronics,Samsung Galaxy S5 [Purity Tested],Samsung Galaxy S5 available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.651299 BTC,USA,Worldwide,5.00/5,
top_vendor1-17,Drugs/Cannabis/Weed,Ultra Clean Custom order 1 pound [Purity Tested],"Welcome to our official ShadowBay shop! Custom order 1 pound ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across worldwide.",2.863343 BTC,USA,Worldwide,5.00/5,
top_vendor1-17,Counterfeits/Money,High Quality Counterfeit Bills $500,"Welcome to our official ShadowBay shop! High Quality Counterfeit Bills $500 ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across worldwide.",52.133026 BTC,USA,Worldwide,5.00/5,
top_vendor1-17,Drugs/Cannabis/Weed,Verified custom order 6 pounds sour diesel [24/7 Auto Dispatch],"Welcome to our official ShadowBay shop! custom order 6 pounds sour diesel ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across worldwide.",12.365122 BTC,USA,Worldwide,4.92/5,
Dies_elTHC,Drugs/Cannabis/Weed,7g - Pick any 2 strains - AAA [Escrow Ready],"Welcome to our official ShadowBay shop! 7g - Pick any 2 strains - AAA ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across USA.",0.192518 BTC,USA,USA,4.80/5,
Dies_elTHC,Drugs/Cannabis/Weed,3.5g - Alien Dawg - AAA,"Premium 3.5g - Alien Dawg - AAA sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",0.100517 BTC,USA,USA,4.96/5,
Dies_elTHC,Drugs/Cannabis/Concentrates,Custom 2g of Shatter - Pick a strain,"Welcome to our official ShadowBay shop! 2g of Shatter - Pick a strain ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across USA.",0.147316 BTC,USA,USA,4.82/5,
